Name,Position,Date,Team,Location,Opp,Minutes Played,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Aaron Gordan,SF,10/19/2022,DEN,1,UTA,32:58:00,10,17,0,2,2,2,4,6,10,2,1,1,1,22
Aaron Gordan,SF,10/21/2022,DEN,1,GSW,28:47:00,5,12,0,6,0,0,1,2,3,3,0,0,3,10
Aaron Gordan,SF,10/22/2022,DEN,0,OKC,28:22:00,3,9,1,3,4,8,5,5,10,2,0,2,2,11
Aaron Gordan,SF,10/24/2022,DEN,1,POR,27:37:00,12,16,0,2,2,2,2,4,6,1,0,0,1,26
Aaron Gordan,SF,10/26/2022,DEN,0,LAL,28:30:00,2,8,0,3,2,4,3,6,9,5,0,2,0,6
Aaron Gordan,SF,10/28/2022,DEN,0,UTA,21:19,1,4,1,3,0,2,0,1,1,0,0,2,2,3
Aaron Gordan,SF,10/30/2022,DEN,1,LAL,30:41:00,7,11,3,4,1,2,1,5,6,0,0,2,1,18
Aaron Gordan,SF,11/3/2022,DEN,1,OKC,35:32:00,10,13,3,4,4,5,2,3,5,3,1,0,0,27
Aaron Gordan,SF,11/5/2022,DEN,0,SAS,22:33,4,6,0,1,0,2,2,4,6,2,0,0,0,8
Aaron Gordan,SF,11/7/2022,DEN,1,SAS,29:42:00,3,5,0,1,3,5,2,3,5,5,4,1,0,9
Aaron Gordan,SF,11/9/2022,DEN,1,IND,34:23:00,5,8,1,3,7,9,4,12,16,6,1,1,5,18
Aaron Gordan,SF,11/11/2022,DEN,1,BOS,30:24:00,6,10,1,2,4,6,3,4,7,2,0,0,0,17
Aaron Gordan,SF,11/13/2022,DEN,1,CHI,25:59:00,4,6,1,1,4,6,0,5,5,2,0,0,1,13
Aaron Gordan,SF,11/22/2022,DEN,0,DET,28:35:00,7,10,1,2,2,5,3,4,7,1,1,1,3,17
Aaron Gordan,SF,11/23/2022,DEN,1,OKC,37:43:00,10,16,4,5,7,11,5,3,8,4,0,2,1,31
Aaron Gordan,SF,11/25/2022,DEN,1,LAC,27:59:00,12,16,2,4,3,4,5,2,7,3,2,2,1,29
Aaron Gordan,SF,11/28/2022,DEN,0,HOU,13:50,2,3,0,1,0,0,1,2,3,0,1,0,2,4
Aaron Gordan,SF,11/30/2022,DEN,0,HOU,31:15:00,7,12,2,4,4,7,2,4,6,2,0,1,1,20
Aaron Gordan,SF,12/2/2022,DEN,1,ATL,30:50:00,7,12,0,2,0,0,1,4,5,3,2,0,3,14
Aaron Gordan,SF,12/4/2022,DEN,1,NOP,37:02:00,7,10,1,3,4,4,1,7,8,0,0,0,1,19
