,Position,Rank,Game,Date,Age,Team,Location,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
James Harden,PG,1,1,10/18/2022,33-053,PHI,@,BOS,L (-9),1,37:17:00,9,14,0.643,5,9,0.556,12,12,1,0,8,8,7,0,0,3,3,35,31.9,1
James Harden,PG,2,2,10/20/2022,33-055,PHI,,MIL,L (-2),1,40:20:00,13,24,0.542,1,7,0.143,4,4,1,0,8,8,9,2,1,2,2,31,28,5
James Harden,PG,3,3,10/22/2022,33-057,PHI,,SAS,L (-9),1,40:17:00,4,18,0.222,1,6,0.167,3,4,0.75,4,5,9,12,1,2,2,3,12,12.5,0
James Harden,PG,4,4,10/24/2022,33-059,PHI,,IND,W (+14),1,34:39:00,10,18,0.556,5,10,0.5,4,4,1,0,9,9,11,2,0,1,2,29,31,16
James Harden,PG,5,5,10/26/2022,33-061,PHI,@,TOR,L (-10),1,35:39:00,5,12,0.417,3,6,0.5,5,6,0.833,0,7,7,9,0,1,3,2,18,16.5,-6
James Harden,PG,6,6,10/28/2022,33-063,PHI,@,TOR,W (+22),1,33:43:00,4,9,0.444,0,3,0,3,3,1,1,3,4,4,0,2,5,2,11,6.3,3
James Harden,PG,7,7,10/29/2022,33-064,PHI,@,CHI,W (+5),1,36:00:00,2,13,0.154,0,5,0,11,11,1,0,6,6,11,2,0,3,0,15,15.2,-3
James Harden,PG,8,8,10/31/2022,33-066,PHI,@,WAS,W (+7),1,37:37:00,8,17,0.471,2,6,0.333,5,6,0.833,0,7,7,17,2,0,4,2,23,25.1,8
James Harden,PG,9,9,11/2/2022,33-068,PHI,,WAS,L (-10),1,35:04:00,8,18,0.444,3,8,0.375,5,6,0.833,0,5,5,10,1,0,3,2,24,19.9,-9
James Harden,PG,10,,11/4/2022,33-070,PHI,,NYK,L (-2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
James Harden,PG,11,,11/7/2022,33-073,PHI,,PHO,W (+12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
James Harden,PG,12,,11/10/2022,33-076,PHI,@,ATL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
James Harden,PG,13,,11/12/2022,33-078,PHI,,ATL,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
James Harden,PG,14,,11/13/2022,33-079,PHI,,UTA,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
